STT,Tên File,Link Chia Sẻ,Loại File
1,Ngay001-P💎 0. KHAI GIẢNG - LỊCH HỌC VÀ LƯU Ý - 6 BUỔI-2392025 - Thông báo nội dung chi tiết lịch học các môn,https://docs.google.com/document/d/1yRcTslxX1RXzcjVsb6ChJ47yO7eWIgSX6mpa8_V0ClQ/edit?usp=drivesdk,application/vnd.google-apps.document
2,Ngay002-P💎 0. KHAI GIẢNG - LỊCH HỌC VÀ LƯU Ý - 6 BUỔI-2492025 - Thông báo nội dung chi tiết lịch học các môn,https://docs.google.com/document/d/1KU6ay1RZUDdXBfMuKfMJxCSUK2VfxFxae7fbQMQYEIM/edit?usp=drivesdk,application/vnd.google-apps.document
3,Ngay003-P💎 0. KHAI GIẢNG - LỊCH HỌC VÀ LƯU Ý - 6 BUỔI-2592025 - Thông báo nội dung chi tiết lịch học các môn,https://docs.google.com/document/d/1Mdh5oR6nqdNAURNb5TZ4sMBGOqWWEbQNHpwto5DR0l4/edit?usp=drivesdk,application/vnd.google-apps.document
4,Ngay004-P💎 0. KHAI GIẢNG - LỊCH HỌC VÀ LƯU Ý - 6 BUỔI-2692025 - Thông báo nội dung chi tiết lịch học các môn,https://docs.google.com/document/d/1XD4enC5Jp-ZFrzkczRcXbMVjr6P_BD8gtDJZWBeQVeo/edit?usp=drivesdk,application/vnd.google-apps.document
5,Ngay005-P💎 1. NÂNG TẦM NHẬN THỨC TƯ DUY - 11 BUỔI-2792025 - Thông báo nội dung chi tiết lịch học các môn,https://docs.google.com/document/d/19C-SVVFOUEjBjMPqgNRJTLJuvyDKOAhuH1ILG67kjDY/edit?usp=drivesdk,application/vnd.google-apps.document
6,Ngay006-P💎 1. NÂNG TẦM NHẬN THỨC TƯ DUY - 11 BUỔI-2992025 - Nhận thức đủ đầy,https://docs.google.com/document/d/1ecj8dy0IFqFDDBn9lf4n7BzHFCDjYRCyNyRsKfDxBm0/edit?usp=drivesdk,application/vnd.google-apps.document
7,Ngay007-P💎 1. NÂNG TẦM NHẬN THỨC TƯ DUY - 11 BUỔI-3092025 - Nguyên lý ánh sáng và nguyên lý kích hoạt não,https://docs.google.com/document/d/1--QFMZbHgdHZYxEMh2EBtHsBgczQKEU68oMM1PnJer4/edit?usp=drivesdk,application/vnd.google-apps.document
8,Ngay008-P💎 1. NÂNG TẦM NHẬN THỨC TƯ DUY - 11 BUỔI-1102025 - Nguyên lý nghi vấn thuận chiều mong muốn,https://docs.google.com/document/d/1XyMDGm11qDs9kQvyucf3fVs8zgMFerdTczf_W4OEyEo/edit?usp=drivesdk,application/vnd.google-apps.document
9,Ngay009-P💎 1. NÂNG TẦM NHẬN THỨC TƯ DUY - 11 BUỔI-2102025 - Nguyên lý hình ảnh tâm trí,https://docs.google.com/document/d/1U_osOihQoRvj5jo_b_imGKlkFu-OyqwTJpfr3AUvzFg/edit?usp=drivesdk,application/vnd.google-apps.document
10,Ngay010-P💎 1. NÂNG TẦM NHẬN THỨC TƯ DUY - 11 BUỔI-3102025 - Nguyên lý vận hành tiềm thức,https://docs.google.com/document/d/1Y5hpL5QyqNCVkG8ZG5_WjBN6R0k2YKdzrx-Srr3gPLY/edit?usp=drivesdk,application/vnd.google-apps.document
11,Ngay011-P💎 1. NÂNG TẦM NHẬN THỨC TƯ DUY - 11 BUỔI-4102025 - Nguyên lý vận hành tâm thức,https://docs.google.com/document/d/1xWwazSbhkOFQLYEozJQCJ5JcGlhrKHGvN2p1RzuIka4/edit?usp=drivesdk,application/vnd.google-apps.document
12,Ngay012-P💎 1. NÂNG TẦM NHẬN THỨC TƯ DUY - 11 BUỔI-6102025 - Nguyên lý vận hành hiện thực,https://docs.google.com/document/d/1h-dgCo83Qw65J3cIXBcO1N6vmS9QKdhxh4SpAXNp9RU/edit?usp=drivesdk,application/vnd.google-apps.document
13,Ngay013-P💎 1. NÂNG TẦM NHẬN THỨC TƯ DUY - 11 BUỔI-7102025 - Quy luật nhân duyên - Quy luật nhân quả,https://docs.google.com/document/d/1h0b9D2UPj6r8XitiLCQyyoRvcJ7GaWS_mDuD17ygwng/edit?usp=drivesdk,application/vnd.google-apps.document
14,Ngay014-P💎 1. NÂNG TẦM NHẬN THỨC TƯ DUY - 11 BUỔI-8102025 - Tổng nghiệp thức - duyên - quả,https://docs.google.com/document/d/1b4JMuYcthycJgqP92JgOgn1otYcdOgMKKVVXT4a3SCs/edit?usp=drivesdk,application/vnd.google-apps.document
15,Ngay015-P💎 1. NÂNG TẦM NHẬN THỨC TƯ DUY - 11 BUỔI-9102025 - Quan niệm trong tư duy,https://docs.google.com/document/d/1nWvjmTFuaQ3QhX9Yuk-CYgBHVMPWriyQItQU7_uGwrk/edit?usp=drivesdk,application/vnd.google-apps.document
16,Ngay016-P💎 2. QUẢ NHƯ Ý - 10 BUỔI-10102025 - Tâm thái - Nguyên tắc trong tư duy,https://docs.google.com/document/d/18uXDW-A1_jOGYVAzfrniYoL-pKDhKLGZk_a3egeBULw/edit?usp=drivesdk,application/vnd.google-apps.document
17,Ngay017-P💎 2. QUẢ NHƯ Ý - 10 BUỔI-13102025 - Nhận thức đủ đầy,https://docs.google.com/document/d/1vncZhfwZE8UTqDj3dtqiJclxVxrpnGoTK0o93N2Y87s/edit?usp=drivesdk,application/vnd.google-apps.document
